Log file open, 08/26/14 01:24:40
LogInit:Display: Running engine for game: ProjectSky
LogInit: Version: 4.4.1-0+UE4
LogInit: API Version: 0
LogInit: Compiled (64-bit): Aug 24 2014 23:57:45
LogInit: Build Configuration: Development
LogInit: Branch Name: UE4
LogInit: Command line: 
LogInit: Base directory: /home/oliver/Git/UnrealEngine/Engine/Binaries/Linux/
LogInit: Rocket: 0
[2014.08.25-17.24.40:941][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2014.08.25-17.24.40:948][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2014.08.25-17.24.40:992][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2014.08.25-17.24.40:998][  0]LogInit: Object subsystem initialized
[2014.08.25-17.24.41:000][  0]LogInit: Selected Device Profile: [Linux]
[2014.08.25-17.24.41:000][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Linux]
[2014.08.25-17.24.41:022][  0]LogInit: Initializing SDL.
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_base_instance
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_blend_func_extended
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_clear_buffer_object
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_clear_texture
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_color_buffer_float
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_compressed_texture_pixel_storage
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_compute_shader
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_conservative_depth
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_copy_buffer
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_copy_image
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_debug_output
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_depth_buffer_float
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_depth_clamp
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_depth_texture
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_draw_buffers
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_draw_buffers_blend
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_draw_elements_base_vertex
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_draw_indirect
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_draw_instanced
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_explicit_attrib_location
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_explicit_uniform_location
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_fragment_coord_conventions
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_fragment_layer_viewport
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_fragment_program
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_fragment_program_shadow
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_fragment_shader
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_framebuffer_no_attachments
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_framebuffer_object
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_framebuffer_sRGB
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_geometry_shader4
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_get_program_binary
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_gpu_shader5
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_gpu_shader_fp64
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_half_float_pixel
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_half_float_vertex
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_imaging
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_instanced_arrays
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_internalformat_query
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_internalformat_query2
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_invalidate_subdata
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_map_buffer_alignment
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_map_buffer_range
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_multi_bind
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_multi_draw_indirect
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_multisample
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_multitexture
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_occlusion_query
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_occlusion_query2
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_pixel_buffer_object
[2014.08.25-17.24.41:725][  0]LogRHI:   GL_ARB_point_parameters
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_point_sprite
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_program_interface_query
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_provoking_vertex
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_query_buffer_object
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_sample_shading
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_sampler_objects
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_seamless_cube_map
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_seamless_cubemap_per_texture
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_separate_shader_objects
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_atomic_counters
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_bit_encoding
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_group_vote
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_image_load_store
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_image_size
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_objects
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_precision
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_stencil_export
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_storage_buffer_object
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_subroutine
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shader_texture_lod
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shading_language_100
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shading_language_420pack
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shading_language_packing
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shadow
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_shadow_ambient
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_stencil_texturing
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_sync
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_tessellation_shader
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_texture_border_clamp
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_texture_buffer_object
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_texture_buffer_object_rgb32
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_texture_buffer_range
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_texture_compression
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_texture_compression_bptc
[2014.08.25-17.24.41:726][  0]LogRHI:   GL_ARB_texture_compression_rgtc
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_cube_map
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_cube_map_array
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_env_add
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_env_combine
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_env_crossbar
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_env_dot3
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_float
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_gather
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_mirror_clamp_to_edge
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_mirrored_repeat
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_multisample
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_non_power_of_two
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_query_levels
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_query_lod
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_rectangle
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_rg
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_rgb10_a2ui
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_snorm
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_storage
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_storage_multisample
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_swizzle
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_texture_view
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_timer_query
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_transform_feedback2
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_transform_feedback3
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_transform_feedback_instanced
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_transpose_matrix
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_uniform_buffer_object
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_array_bgra
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_array_object
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_attrib_64bit
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_attrib_binding
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_buffer_object
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_program
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_shader
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_type_10f_11f_11f_rev
[2014.08.25-17.24.41:727][  0]LogRHI:   GL_ARB_vertex_type_2_10_10_10_rev
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ARB_viewport_array
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ARB_window_pos
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_draw_buffers
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_envmap_bumpmap
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_fragment_shader
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_meminfo
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_separate_stencil
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_texture_compression_3dc
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_texture_env_combine3
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_texture_float
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_ATI_texture_mirror_once
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_abgr
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_bgra
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_bindable_uniform
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_blend_color
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_blend_equation_separate
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_blend_func_separate
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_blend_minmax
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_blend_subtract
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_compiled_vertex_array
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_copy_buffer
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_copy_texture
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_depth_bounds_test
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_direct_state_access
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_draw_buffers2
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_draw_instanced
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_draw_range_elements
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_fog_coord
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_framebuffer_blit
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_framebuffer_multisample
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_framebuffer_object
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_framebuffer_sRGB
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_geometry_shader4
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_gpu_program_parameters
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_gpu_shader4
[2014.08.25-17.24.41:728][  0]LogRHI:   GL_EXT_histogram
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_multi_draw_arrays
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_packed_depth_stencil
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_packed_float
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_packed_pixels
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_pixel_buffer_object
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_point_parameters
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_provoking_vertex
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_rescale_normal
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_secondary_color
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_separate_specular_color
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_shader_image_load_store
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_shader_integer_mix
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_shadow_funcs
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_stencil_wrap
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_subtexture
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texgen_reflection
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture3D
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_array
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_buffer_object
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_compression_bptc
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_compression_latc
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_compression_rgtc
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_compression_s3tc
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_cube_map
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_edge_clamp
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_env_add
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_env_combine
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_env_dot3
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_filter_anisotropic
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_integer
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_lod
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_lod_bias
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_mirror_clamp
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_object
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_rectangle
[2014.08.25-17.24.41:729][  0]LogRHI:   GL_EXT_texture_sRGB
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_texture_sRGB_decode
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_texture_shared_exponent
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_texture_snorm
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_texture_storage
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_texture_swizzle
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_timer_query
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_transform_feedback
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_vertex_array
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_vertex_array_bgra
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_EXT_vertex_attrib_64bit
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_IBM_texture_mirrored_repeat
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_INTEL_fragment_shader_ordering
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_KHR_debug
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_KTX_buffer_region
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_blend_square
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_conditional_render
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_copy_depth_to_color
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_copy_image
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_depth_buffer_float
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_explicit_multisample
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_float_buffer
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_half_float
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_primitive_restart
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_texgen_reflection
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_NV_texture_barrier
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_SGIS_generate_mipmap
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_SGIS_texture_edge_clamp
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_SGIS_texture_lod
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_SUN_multi_draw_arrays
[2014.08.25-17.24.41:730][  0]LogRHI:   GL_WIN_swap_hint
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_TEXTURE_SIZE: 16384
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_CUBE_MAP_TEXTURE_SIZE: 16384
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_ARRAY_TEXTURE_LAYERS: 2048
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_3D_TEXTURE_SIZE: 2048
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_RENDERBUFFER_SIZE: 16384
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_TEXTURE_IMAGE_UNITS: 32
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_DRAW_BUFFERS: 8
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_COLOR_ATTACHMENTS: 8
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_SAMPLES: 8
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_COLOR_TEXTURE_SAMPLES: 8
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_DEPTH_TEXTURE_SAMPLES: 8
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_INTEGER_SAMPLES: 8
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_COMBINED_TEXTURE_IMAGE_UNITS: 192
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_VERTEX_ATTRIBS: 29
[2014.08.25-17.24.41:733][  0]LogRHI:   GL_MAX_TEXTURE_MAX_ANISOTROPY_EXT: 16
[2014.08.25-17.24.41:733][  0]LogRHI: OpenGL MajorVersion = 3, MinorVersion = 2, ShaderPlatform = GLSL_150, FeatureLevel = SM4
[2014.08.25-17.24.41:811][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2014.08.25-17.24.43:152][  0]LogTargetPlatformManager:Display: Building Assets For Linux
[2014.08.25-17.24.43:595][  0]LogTargetPlatformManager:Display: Building Assets For Linux
[2014.08.25-17.24.43:618][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2014.08.25-17.24.43:618][  0]LogDerivedDataCache:Warning: Could not find memory cache ../../../../ProjectSky.Unreal/ProjectSky/DerivedDataCache/Boot.ddc.
[2014.08.25-17.24.43:618][  0]LogDerivedDataCache:Warning: Could not load Boot cache: ../../../../ProjectSky.Unreal/ProjectSky/DerivedDataCache/Boot.ddc
[2014.08.25-17.24.43:618][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file ../../../../ProjectSky.Unreal/ProjectSky/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2014.08.25-17.24.43:618][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2014.08.25-17.24.43:618][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  EnginePak pak cache file ../../../Engine/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2014.08.25-17.24.43:619][  0]LogDerivedDataCache: Unable to find inner node EnginePak for hierarchical cache Hierarchy.
[2014.08.25-17.24.43:619][  0]LogDerivedDataCache: Using Local data cache path ../../../Engine/DerivedDataCache: Writable
[2014.08.25-17.24.43:619][  0]LogDerivedDataCache: Shared data cache path not found in *engine.ini, will not use an Shared cache.
[2014.08.25-17.24.43:619][  0]LogDerivedDataCache: Unable to find inner node Shared for hierarchical cache Hierarchy.
[2014.08.25-17.24.43:889][  0]LogHAL: Linux SourceCodeAccessSettings: SublimeEditorSourceCodeAccessor
[2014.08.25-17.24.44:687][  0]LogMeshUtilities: No automatic mesh reduction module available
[2014.08.25-17.24.44:687][  0]LogMeshUtilities: No automatic mesh merging module available
[2014.08.25-17.24.47:331][  0]LogModuleManager:Warning: ModuleManager: Unable to load module 'SteamController' because the file '/home/oliver/Git/UnrealEngine/Engine/Binaries/Linux/' was not found.
